Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Maso kuřecí, Zlaté kuře, zadní čtvrtky, s kostí, s kůží;;754;181;16.9;2.7;12.6;0;0;0;68.5;;1.0;;;;;;;;;;;;;;;;;;72;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;3.95;0;0;0;0;0;0;0.06;0;3.17;0;0.72;0;0;6.03;0;0.88;0;5.10;0.05;0;1.83;1.71;1.71;0;0;0.12;0.12;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Čočka, černá;;1271;303;26.2;4.19;1.5;59.9;32.3;27.6;9.5;;2.9;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;1.1;0.1;0;0;0;1.0;;;;;0.25;0;0;0;0;0;0;0.01;0;0.21;0;0.03;0;0.01;0.33;0;0.01;0;0.31;0.01;0;0.61;0.49;0.49;0;0;0.12;0.12;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Koření, kardamom;;1138;273;8.6;1.4;2.0;74.5;35.9;38.6;8.7;;6.2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0.26;0;0;0;0;0;0;0.01;0;0.23;0;0.03;0;0;0.52;0;0.01;0;0.51;0;0;0.15;0.02;0.02;0;0;0.13;0.13;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Játra husí;;493;117;21.9;3.51;2.7;1.26;1.26;0;72.8;;1.4;;;;;;;;;;;;;;;;;;88;;;;;;;;;;0.22;;0;0;0;0;0;0;;;;;1.04;0;0;0;0;0;0;0;0;0.50;0;0.53;0;0;0.54;0;0.01;0;0.53;0;0;0.19;0.18;0.18;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Smetana kysaná, min. 18 % tuku;;780;189;2.8;0.4;18.0;3.3;3.3;0;74.6;0;0.6;;;;;;;;;;;160;153;79;0.21;0.46;0.46;;36;9;85;121;110;0;0.01;0.28;;11.5;0.1;;3.3;;;3.3;;;;0.8;;;11.65;0.61;0.40;0.25;0.56;0.70;;1.98;;5.33;;1.82;;;4.86;0.25;0.40;;4.00;0.22;;0.52;0.38;0.38;;;0.14;0.14;;;;;;;59;;;;;;;;;;;;;;;;;;;
Podmáslí sušené;;1645;389;31.4;5.0;6.6;50.9;50.9;0;3.8;;7.2;;;;;;;;;;;;;;;;;;389;;;;;;;;;;0.97;;47.0;0;0;47.0;0;0;;;;;3.77;0;0.08;0.06;0.12;0.27;0;0.52;0;1.99;0;0.72;0;0;1.94;0;0.06;0;1.88;0;0;0.23;0.21;0.21;0;0;0.02;0.02;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Sýr, Istanbuli, 40 % t. v s.;;934;225;16.3;2.6;17.2;1.2;1.2;0;60.4;0;5.2;;0.02;0.46;;;;;;;0;152;146;76;0.20;0.44;0.44;;723;10;201;96;203;0.1;0.02;1.50;;21;1.8;;1.2;;;1.2;;;;;;;11.13;0.58;0.38;0.24;0.53;0.67;;1.89;;5.09;;1.74;;;4.65;0.24;0.38;;3.82;0.21;;0.50;0.36;0.36;;;0.14;0.14;;;;;;;57;;;;;;;;;;;;;;;;;;;
Olej sojový;;3700;900;0;0;99.9;0;0;0;0.1;;0;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;0;0;0;0;0;0;;;;;15.10;0;0;0;0;0;0;0.05;0;9.75;0.10;4.48;0.34;0.33;21.61;0;0.07;0;23.39;0.15;0;58.70;51.34;51.29;0;0;7.46;7.40;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Hamburger (firma McDONALD´S);;1050;248;13.0;2.1;7.4;32.4;;;44.8;0;2.4;;0.09;0.10;;2.7;;;0.09;;0.0;54;0;650;;0.71;0.71;;520;10;124;208;54;0.6;0.09;1.60;;3.6;1.3;;;;;;;;;;;;2.40;;;;;;;0.13;;1.38;;0.73;0.16;;0.30;0.03;0.25;;;0.02;;3.97;3.97;3.35;0.62;;0.05;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;
Sýr, balkánský, 50 % t. v s.;;1030;245;14.7;2.3;20.5;1.2;1.2;0;58.5;0;4.9;;0.02;0.46;;;;;0.01;;0;254;243;126;0.26;0.73;0.73;;1764;16;237;75;400;0.1;0.05;1.7;;19;4.4;;1.2;;;1.2;;;;;;;13.26;0.70;0.45;0.29;0.64;0.80;;2.26;;6.07;;2.07;;;5.54;0.29;0.45;;4.55;0.25;;0.59;0.43;0.43;;;0.16;0.16;;;;;;;87;;;;;;;;;;;;;;;;;;;
Maso kachní, čtvrtky zadní, s kostí, s kůží;;1226;296;13.8;2.2;26.8;0;0;0;55.7;;0.7;;;;;;;;;;;;;;;;;;58;;;;;;;;;;0.15;;0;0;0;0;0;0;;;;;7.45;0;0;0;0;0;0;0.17;0;5.88;0;1.40;0;0;14.74;0;1.14;0;13.48;0.12;0;3.11;2.92;2.84;0;0.08;0.19;0.19;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Semena pískavice, řecké seno;;1181;286;24.7;3.95;7.8;55.0;3.8;51.2;8.9;;3.6;;;;;;;;;;;;;;;;;;88;;;;;;;;;;0.22;;0.2;0.1;0;0;0;0.1;;;;;0.90;0;0;0;0;0;0;0;0;0.65;0;0.25;0;0;1.02;0;0.02;0;1.00;0;0;4.23;2.68;2.68;0;0;1.55;1.55;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Omáčka houbová, maso hovězí vařené, knedlík houskový;;660;157;10.0;1.6;5.5;17.4;16.4;1.0;65.5;0;1.6;;0.04;0.12;;1.5;;0.31;0.07;;0;20;19;10;;0.15;0.15;;389;12;88;161;43;1.2;;0.61;;;1.0;;1.5;;;;;;;;;;3.08;0.06;0.08;0.06;0.13;0.15;0;0.45;0.05;1.55;0.03;0.53;0;0;1.79;0.04;0.15;0;1.58;0.01;0;0.26;0.22;0.22;;;0.04;0.04;;;;0;0;0;29;;478;536;523;858;473;446;437;594;819;2108;587;187;243;467;395;;305;686
Margarín se sníženým obsahem tuku (60 %), Rama Lahodná máslová příchuť, UNILEVER;;2230;542;0.2;;60.0;0.2;0.2;0;39.2;0;;;;;;;;;;;;;;;;;;;87;;;;;;;;;;0.23;;0.2;;;;;;;;;;17.32;;;;;;;;;;;;;;28.07;;;;;;;14.36;;;;;;;;;;0.20;;;2;;;;;;;;;;;;;;;;;;;
Tuk rostlinný roztíratelný s nízkým obsahem tuku (30 %), Flora light, UNILEVER;;1110;270;0;;30.0;0;0;0;69.6;0;;;;;;;;;;;;;;;;;;;168;;;;;;;;;;0.42;;0;;;;;;;;;;6.20;;;;;;;;;;;;;;8.25;;;;;;;15.32;;;;;;;;;;0.19;;;1;;;;;;;;;;;;;;;;;;;
Sýr, Akawi, 40 % t. v s.;;1060;255;17.8;2.8;19.8;1.3;1.3;0;53.0;0;8.0;;0.02;0.46;;;;;;;0;175;168;87;0.21;0.50;0.50;;2638;18;346;75;414;0.1;0.04;2.1;;10;6.6;;1.3;;;1.3;;;;;;;12.78;0.67;0.43;0.28;0.61;0.77;;2.17;;5.85;;1.99;;;5.33;0.28;0.43;;4.38;0.24;;0.57;0.41;0.41;;;0.16;0.16;;;;;;;65;;;;;;;;;;;;;;;;;;;
Jogurt, ovocný, modelová receptura;;449;106;4.4;0.7;2.2;17.9;16.6;1.3;74.6;;0.9;;;;;;;;;;;;;;;;;;48;;;;;;;;;;0.12;;14.3;0.9;1.2;3.2;0.0;9.0;;;;;1.38;0.00;0.01;0.02;0.06;0.07;0.00;0.24;0.03;0.73;0.01;0.21;0.00;0.00;0.60;0.02;0.05;0.01;0.49;0.00;;0.09;0.07;0.07;0.00;0.00;0.02;0.02;0.00;;0.00;0.03;0.03;0.00;;;;;;;;;;;;;;;;;;;;
Mouka pšeničná, hladká, světlá, T 530, obsah popela max. 0,6 % v suš.;;1460;344;11.9;1.9;1.7;72.0;68.9;3.1;13.9;0;0.5;;0.18;0.04;;1.1;;0.40;0.07;;0;0;0;4;;0.43;0.43;;1;26;121;133;21;1.0;;0.73;;;0;;1.1;0.1;0.3;0;0.4;0.3;;;;;0.22;0;0;0;0;0;0;0;0;0.20;0;0.02;0;0;0.19;0;0.01;0;0.17;0.01;0;0.73;0.68;0.68;;;0.05;0.05;;;;0;0;0;0;;431;356;520;841;447;582;334;457;509;4294;496;444;162;625;379;;248;1431
Vejce slepičí, bílek;;201;47;10.6;1.7;0.1;1.0;1.0;0;87.6;0;0.7;;0.03;0.30;;;;;;;0;0;0;0;;0;0;;164;12;21;156;11;0.5;;;;;0.41;;0.4;0;0.4;0;0;0;;;;;0.02;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0.03;0;0;0;0.03;0;0;0.01;0.01;0.01;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Bulgur pšeničný;;1451;343;13.5;2.16;1.5;73.1;64.5;8.6;10.8;;1.1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;1.0;0;0;0;0;1.0;;;;;0.19;0;0;0;0;0;0;0;0;0.17;0;0.02;0;0;0.22;0;0;0;0.22;0;0;0.60;0.56;0.56;0;0;0.04;0.04;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Semena lněná;;2005;484;21.7;3.5;33.5;35.6;12.5;23.1;6.3;;2.9;;;;;;;;;;;;;;;;;;41;;;;;;;;;;0.10;;0;0;0;0;0;0;;;;;3.76;0;0;0;0;0;0;0;0;1.91;0;1.85;0;0;6.97;0;0;0;6.97;0;0;21.26;4.56;4.56;0;0;16.69;16.69;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Krupice pohanková;;1474;348;7.6;1.2;1.9;76.8;73.4;3.3;12.8;;0.9;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0.6;0;0;0;0;0.6;;;;;0.36;0;0;0;0;0;0;0;0;0.27;0;0.04;0.03;0.03;0.75;0;0;0;0.69;0.06;0;0.67;0.64;0.64;0;0;0.04;0.04;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Semena sezamová;;2680;648;21.9;4.1;58.5;12.5;4.6;7.9;3.2;0;3.9;;0.76;0.17;;;;;;;0;1;0;12;;2.25;;;26;352;701;438;96;9.9;;;;;0.1;;0.5;0.1;0.3;;;0.3;;;;;8.74;;;;;;;0.14;;5.25;;2.74;0.44;0.17;22.59;;0.17;;22.42;;;23.26;22.51;22.51;;;0.75;0.75;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso kuřecí, stehno, s kůží;;791;189;17.2;2.8;13.5;0;0;0;68.4;0;0.9;;0.07;0.16;;;;;;;0;37;37;0;;0.44;0.44;;86;21;149;253;14;2.6;;;;;0.22;;0;0;0;0;0;0;;;;;3.87;0;0;0;0;0;0;0.09;0;2.90;0;0.83;0;0;6.52;0;0.68;0;5.79;0.05;0;2.27;2.08;2.04;0;0;0.19;0.20;0;;0;0;0;0;83;;;;;;;;;;;;;;;;;;;
Celer řapíkatý;;69;17;0.7;0.1;0.2;5.3;0.7;4.7;92.9;;0.8;;;;;;;;;;;;;;;;;;46;;;;;;;;;;0.12;;2.0;1.1;1.0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Ledviny hovězí;;398;95;15.6;2.5;3.6;0;0;0;79.2;0;1.1;;0.32;2.00;;;;;;;11.9;340;340;;;0.19;0.19;;219;23;221;243;11;7.8;;;;;;;;;;;;;;;;;1.70;;;;;;;;;;;;;;1.10;;;;;;;0.30;;0.10;;;;;;;;;;;479;;3,4;2,9;2,2;3,3;2,3;2,1;2,3;4,4;2,9;1,7;2,4;2,4;2,1;15,5;7,6;5,5;13,0;2,0
Sádlo kančí;;2633;640;7.6;1.21;67.7;0;0;0;24.4;;0.4;;;;;;;;;;;;;;;;;;30;;;;;;;;;;0.08;;0;0;0;0;0;0;;;;;16.77;0;0;0;0;0;0;0.57;0;10.44;0;5.76;0;0;23.10;0;0.71;0;22.11;0.28;0;23.51;20.39;20.39;0;0;3.12;3.12;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Cizrna;;1285;308;20.0;3.2;5.8;60.7;27.2;33.5;10.7;;2.8;;;;;;;;;;;;;;;;;;5;;;;;;;;;;0.01;;1.9;0.2;0;0;0;1.7;;;;;0.57;0;0;0;0;0;0;0.01;0;0.44;0;0.07;0.03;0.02;1.27;0;0.01;0;1.24;0.02;0;2.30;2.20;2.20;0;0;0.10;0.10;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Sardinka evropská;;661;158;19.5;3.12;8.9;0;0;0;68.0;;1.8;;;;;;;;;;;;;;;;;;112;;;;;;;;;;0.28;;0;0;0;0;0;0;;;;;2.89;0;0;0;0;0;0;0.64;0;1.74;0;0.39;0.12;0;1.73;0;0.66;0;0.89;0.18;0;0.71;0.11;0.11;0;0;0.60;0.06;0.21;;0.32;0;0;0;;;;;;;;;;;;;;;;;;;;
Salám šunkový;;848;202;18.0;2.9;14.6;0.1;0.1;0;65.6;0;3.3;;0.35;0.19;;;;;;;0;3;3;;;;;;1310;52;175;426;18;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.12;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;
Jazyk hovězí;;779;187;16.0;2.6;13.7;0;0;0;69.3;0;1.0;;0.16;0.27;;;;;;;0;1;1;0;;0.1;0.1;;95;21;213;330;12;3.6;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.32;0.32;;;;;;;;;;;119;;;;;;;;;;;;;;;;;;;
Maso selečí, šrůtka;;497;118;19.0;3.04;4.7;0;0;0;75.0;;1.2;;;;;;;;;;;;;;;;;;51;;;;;;;;;;0.13;;0;0;0;0;0;0;;;;;1.86;0;0;0;0;0;0;0.05;0;1.11;0;0.67;0.03;0;1.61;0;0.09;0;1.52;0;0;0.64;0.58;0.58;0;0;0.06;0.06;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso mufloní, panenka;;585;140;18.3;2.93;7.4;0;0;0;71.1;;1.0;;;;;;;;;;;;;;;;;;56;;;;;;;;;;0.14;;0;0;0;0;0;0;;;;;3.97;0;0;0;0;0;0;0.17;0;1.27;0;2.49;0.03;0;2.14;0;0.05;0;2.08;0;0;0.16;0.11;0.11;0;0;0.05;0.05;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Inulin;;1091;264;0.2;0;0.6;92.9;35.9;57.0;6.2;;0.1;;;;;;;;;;;;;;;;;;20;;;;;;;;;;0.05;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
"Sója extrudovaná (""maso"" sójové), kostky, neochucené";;1330;315;50.6;8.1;1.5;33.1;16.6;16.5;8.9;0;5.9;;0.61;0.32;;;;;;;0;0;0;;;2.3;2.3;;1;276;685;2353;242;4.7;;;;;0;;8.3;1.5;0;0;0;6.8;;;;;0.11;0;0;0;0;0;0;0;0;0;0;0.10;0.01;0;0.31;0;0;0;0.31;0;0;0.67;0.67;0.67;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Semena jetelová;;1289;310;36.4;5.82;7.9;43.0;3.7;39.3;8.8;;3.9;;;;;;;;;;;;;;;;;;14;;;;;;;;;;0.03;;1.2;0.2;0.4;0;0;0.6;;;;;1.42;0;0;0;0;0;0;0.01;0;0.94;0;0.32;0.07;0.09;1.24;0;0.05;0;1.19;0;0;3.63;2.89;2.89;0;0;0.74;0.74;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Koření, kardamon, celý;;893;217;7.3;1.17;2.1;70.38;14.38;56.00;7.2;;13.0;;;;;;;;;;;;;;;;;;287;;;;;;;;;;0.72;;1.06;0.57;0.42;0;0;0.07;;;;;0.29;0;0;0;0;0;0;0;0;0.24;0;0.03;0.02;0;0.71;0;0.28;0;0.42;0;0;0.25;0.18;0.18;0;0;0.07;0.07;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Omáčka koprová, maso hovězí vařené, knedlík houskový;;731;174;10.6;1.7;6.1;19.6;18.7;0.9;62.3;0;1.4;;0.05;0.14;;1.3;;0.35;0.07;;0;42;36;67;;0.23;0.23;;296;13;99;154;57;1.4;;0.50;;;0.7;;2.5;;;;;;;;;;3.50;0.08;0.09;0.06;0.14;0.16;0;0.51;0.06;1.76;0.04;0.59;0;0;1.96;0.05;0.17;0;1.73;0.01;0;0.27;0.23;0.23;;;0.04;0.04;;;;0.01;0.01;0;33;;499;586;585;948;529;496;485;664;913;2321;637;206;277;523;4442;;341;748
Maso vepřové, pečeně bez kosti, syrová (separovatelný tuk 3 %);;590;140;22.3;3.5;5.7;0;0;0;71.0;0;1.1;;1.01;0.09;;8.5;;0.64;0.53;;0;2;2;0;;0.39;0.39;;46;26;225;354;5;0.4;;1.44;;;0.1;;0;;;;;;;;;;1.45;;;;0.01;0.01;;0.08;;1.33;0.01;0.75;0.01;;2.43;;0.15;;2.23;0.05;;0.42;0.39;0.38;;0.01;0.03;0.03;;;;0.01;0.01;;49;;930;1211;1040;1708;984;832;970;650;1967;3140;1270;391;573;803;600;;930;884
Štika obecná, maso z celé ryby;;334;79;18.8;3.0;0.4;0;0;0;80.6;;1.1;;;;;;;;;;;;;;;;;;48;;;;;;;;;;0.12;;0;0;0;0;0;0;;;;;0.06;0;0;0;0;0;0;0.01;0;0.03;0;0.02;0;0;0.11;0;0.03;0;0.08;0;0;0.07;0.03;0.02;0;0.01;0.04;0.01;0.01;;0.02;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso hovězí, kližka, syrová (separovatelný tuk 5 %);;540;129;19.3;3.1;5.7;0;0;0;73.5;0;1.1;;0.03;0.15;;3.8;;;0.25;;0;4;4;0;;0.19;0.19;;73;23;186;276;4;2.2;;5.5;;;0.2;;0;;;;;;;;;;2.94;;;;0;0;;0.18;0.03;1.55;0.07;1.10;0.01;;2.08;0.02;0.19;;1.85;0.01;;0.16;0.13;0.13;;0.01;0.03;0.03;;;;0.02;0.02;;49;;974;1249;1048;1730;1007;843;978;1069;1977;3336;1367;326;585;869;811;;738;821
Vosk karnaubský;;3664;891;0.3;0;98.7;0.5;0.5;0;0.3;;0.3;;;;;;;;;;;;;;;;;;8;;;;;;;;;;0.02;;0;0;0;0;0;0;;;;;65.96;0;0;0;0;0;0;13.30;0;29.91;0;22.75;0;0;17.48;0;0;0;17.48;0;0;10.92;10.92;10.92;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Smetana ke šlehání, 30 % tuku;;1200;292;2.4;0.4;30.0;3.0;3.0;0;64.2;0;0.5;;0.03;0.15;;;;;;;0;266;255;132;0.31;0.77;0.77;;29;7;67;96;87;0;0.01;0.22;;9.1;0.1;;3.0;;;3.0;;;;;;;19.41;1.02;0.66;0.42;0.93;1.17;;3.30;;8.88;;3.03;;;8.10;0.42;0.66;;6.66;0.36;;0.87;0.63;0.63;;;0.24;0.24;;;;;;;99;;;;;;;;;;;;;;;;;;;
Bramborák, modelová receptura;;1020;242;5.6;0.9;10.0;33.9;30.9;3.0;48.6;0;2.0;;0.13;0.08;;1.9;;0.52;0.28;;3.9;6;5;6;;0.24;0.24;;420;29;51;385;29;0.8;;0.52;;;1.1;;3.7;;;;;;;;;;4.57;0.02;0.01;0.01;0.02;0.02;0;0.18;0.01;2.66;0.04;1.59;0.02;0.01;3.84;0;0.20;0.03;3.33;0.07;0;1.14;1.06;1.06;;;0.08;0.08;;;;0.23;0.23;0;16;;175;185;280;376;217;269;185;339;689;1482;259;136;99;278;194;;114;454
Koření, máta, sušená;;1129;272;19.0;3.03;4.4;59.06;18.91;40.15;7.3;;10.2;;;;;;;;;;;;;;;;;;178;;;;;;;;;;0.45;;7.41;3.65;3.76;0;0;0;;;;;1.14;0;0;0;0;0;0;0.63;0;0.44;0;0.07;0;0;0.11;0;0;0;0.11;0;0;2.09;0.31;0.31;0;0;1.78;1.78;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Salát pochoutkový, trh;;1020;247;6.0;1.0;22.4;5.3;;;64.4;0;1.9;;0.08;0.06;;1.1;;;0.07;;0;17;10;80;;2.80;2.80;;454;10;85;140;22;0.7;0.05;0.82;;8.8;1.1;;;;;;;;;;;;3.80;0;0;0;0;0;;0.17;;2.42;;1.05;0.10;0.06;12.61;0.02;0.29;;11.97;0.26;0.07;4.40;3.35;3.35;;;1.05;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;
Maso kuřecí, krky;;687;165;14.3;2.3;12.0;0;0;0;71.7;;0.8;;;;;;;;;;;;;;;;;;68;;;;;;;;;;0.17;;0;0;0;0;0;0;;;;;3.01;0;0;0;0;0;0;0.08;0;2.15;0;0.77;0.01;0;6.00;0;0.42;0;5.52;0.06;0;2.20;1.90;1.90;0;0;0.30;0.30;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Tvaroh tučný;;690;166;12.6;2.02;11.8;2.3;2.3;0;70.5;0;1.0;;0.02;0.28;;;;;;;0;106;102;53;0.16;0.31;0.31;;26;7;168;102;105;0.2;0.02;0.44;;19.0;0.07;;2.3;0;0;2.3;0;0;;;;;7.61;0;0.23;0.14;0.32;0.39;0;1.30;0;3.85;0;1.39;0;0;2.73;0;0.17;0;2.56;0;0;0.31;0.06;0.06;0;0;0.25;0.25;0;;0;0;0;0;40;;;;;;;;;;;;;;;;;;;
Pivo světlé nealkoholické;;63;15;0.1;0;0;2.8;2.8;0;96.5;0.46;0.1;;0.01;0.02;;;;;;;0;0;0;0;;0;0;;2;3;;20;2;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Omáčka rajčatová, maso hovězí vařené, knedlík houskový;;661;157;9.4;1.5;5.7;17.7;16.5;1.2;65.8;0;1.4;;0.04;0.09;;1.3;;0.26;0.07;;0.2;51;24;321;;0.30;0.30;;375;12;73;157;27;1.2;;0.41;;;0.9;;2.1;;;;;;;;;;3.18;0.06;0.08;0.06;0.13;0.15;0;0.45;0.05;1.61;0.03;0.55;0;0;1.90;0.04;0.16;0;1.67;0.02;0;0.27;0.23;0.23;;;0.04;0.04;;;;0.01;0.01;0;28;;473;520;485;790;441;415;410;554;790;2035;564;180;230;439;369;;291;634
Tykev obecná;;126;30;1.1;0.2;0.2;6.7;5.1;1.6;91.3;0;0.7;;0.05;0.05;;;;;;;11.2;37;0;445;;1;;;2;12;42;294;22;0.8;;;;;;;4.7;1.8;1.6;;;1.3;;;;;0.03;;;;;;;;;0.03;;;;;0;;;;0;;;0.06;0.02;0.02;;;0.06;0.04;;;;;;;0;;;;;;;;;;;;;;;;;;;
Bramborák, trh;;1090;261;4.8;0.8;13.2;30.8;;;47.0;0;4.2;;0.08;0.08;;1.5;;;0.25;;0;5;3;20;;3.07;3.07;;1042;22;84;404;35;1.8;0.10;0.52;;13.4;2.6;;;;;;;;;;;;1.20;0;0;0;0;0;;0;;0.82;;0.28;0.08;0.02;7.92;0;0.05;;7.67;0.18;0.02;3.28;2.43;2.43;;;0.85;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;
Rybíz červený;;205;49;1.1;0.2;0.2;13.4;8.0;5.4;84.7;0;0.6;;0.05;0.03;;;;;;;34.5;2;0;24;;0.80;0.80;;4;12;30;225;28;1.1;;;;;0;;4.9;2.6;1.9;;;0.4;;;;;0.04;;;;;;;;;0.03;;0.01;;;0.03;;;;;;;0.07;0.04;0.04;;;0.03;0.03;;;;;0.03;;0;;;;;;;;;;;;;;;;;;;
Retentát mléčný;;137;33;5.7;0.9;0.6;1.1;1.1;0;92.0;;0.6;;;;;;;;;;;;;;;;;;19;;;;;;;;;;0.05;;1.1;0;0;1.1;0;0;;;;;0.28;0;0;0;0;0;0;0.05;0;0.16;0;0.05;0;0;0.19;0;0;0;0.18;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Papaya melounová;;169;49;0.6;0.1;0.1;10.1;8.2;1.9;88.7;;0.5;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0.01;;8.2;4.3;3.9;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
